species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex
Adelie Penguin (Pygoscelis adeliae),Torgersen,38.9,17.8,181.0,3625.0,FEMALE
Adelie Penguin (Pygoscelis adeliae),Torgersen,39.2,19.6,195.0,4675.0,MALE
Adelie Penguin (Pygoscelis adeliae),Biscoe,37.9,18.6,172.0,3150.0,FEMALE
Adelie Penguin (Pygoscelis adeliae),Biscoe,40.5,18.9,180.0,3950.0,MALE
Adelie Penguin (Pygoscelis adeliae),Dream,37.6,19.3,181.0,3300.0,FEMALE
Adelie Penguin (Pygoscelis adeliae),Torgersen,35.9,16.6,190.0,3050.0,FEMALE
Adelie Penguin (Pygoscelis adeliae),Torgersen,41.8,19.4,198.0,4450.0,MALE
Adelie Penguin (Pygoscelis adeliae),Torgersen,36.2,17.2,187.0,3150.0,FEMALE
Adelie Penguin (Pygoscelis adeliae),Torgersen,37.7,19.8,198.0,3500.0,MALE
Adelie Penguin (Pygoscelis adeliae),Torgersen,38.5,17.9,190.0,3325.0,FEMALE
Adelie Penguin (Pygoscelis adeliae),Torgersen,43.1,19.2,197.0,3500.0,MALE
Adelie Penguin (Pygoscelis adeliae),Dream,37.0,16.5,185.0,3400.0,FEMALE
Adelie Penguin (Pygoscelis adeliae),Dream,39.7,17.9,193.0,4250.0,MALE
Gentoo penguin (Pygoscelis papua),Biscoe,40.9,13.7,214.0,4650.0,FEMALE
Gentoo penguin (Pygoscelis papua),Biscoe,49.0,16.1,216.0,5550.0,MALE
Gentoo penguin (Pygoscelis papua),Biscoe,42.7,13.7,208.0,3950.0,FEMALE
Gentoo penguin (Pygoscelis papua),Biscoe,49.6,16.0,225.0,5700.0,MALE
Gentoo penguin (Pygoscelis papua),Biscoe,45.5,13.9,210.0,4200.0,FEMALE
Gentoo penguin (Pygoscelis papua),Biscoe,50.5,15.9,225.0,5400.0,MALE
Gentoo penguin (Pygoscelis papua),Biscoe,47.2,13.7,214.0,4925.0,FEMALE
Chinstrap penguin (Pygoscelis antarctica),Dream,46.5,17.9,192.0,3500.0,FEMALE
Chinstrap penguin (Pygoscelis antarctica),Dream,50.0,19.5,196.0,3900.0,MALE
Chinstrap penguin (Pygoscelis antarctica),Dream,50.3,20.0,197.0,3300.0,MALE
Chinstrap penguin (Pygoscelis antarctica),Dream,58.0,17.8,181.0,3700.0,FEMALE
Chinstrap penguin (Pygoscelis antarctica),Dream,43.2,16.6,187.0,2900.0,FEMALE
Chinstrap penguin (Pygoscelis antarctica),Dream,50.6,19.4,193.0,3800.0,MALE
Chinstrap penguin (Pygoscelis antarctica),Dream,46.7,17.9,195.0,3300.0,FEMALE
Chinstrap penguin (Pygoscelis antarctica),Dream,52.0,19.0,197.0,4150.0,MALE
Chinstrap penguin (Pygoscelis antarctica),Dream,50.5,18.4,200.0,3400.0,FEMALE
Chinstrap penguin (Pygoscelis antarctica),Dream,49.5,19.0,200.0,3800.0,MALE
Chinstrap penguin (Pygoscelis antarctica),Dream,46.9,16.6,192.0,2700.0,FEMALE
Chinstrap penguin (Pygoscelis antarctica),Dream,53.5,19.9,205.0,4500.0,MALE
Chinstrap penguin (Pygoscelis antarctica),Dream,43.5,18.1,202.0,3400.0,FEMALE
Chinstrap penguin (Pygoscelis antarctica),Dream,49.6,18.2,193.0,3775.0,MALE
